SN,Surah,Khass1brown - Page 1 ~ 640,mumtaz - Page 1 ~ 640 ,standard39 - Page 1 ~ 640,wasat39 - Page 1 ~ 640,standardthree - Page 1 ~ 560
1,???????,4,4,4,4,4
2,??????,5,5,5,5,5
3,?? ?????,53,53,53,53,44
4,??????,80,80,80,80,66
5,???????,109,109,109,109,89
6,???????,131,131,131,131,107
7,???????,154,154,154,154,125
8,???????,180,180,180,180,147
9,??????,190,190,190,190,155
10,????,211,211,211,211,171
11,???,224,224,224,224,183
12,????,238,238,238,238,195
13,?????,252,252,252,252,207
14,???????,258,258,258,258,212
15,?????,265,265,265,265,218
16,?????,270,270,270,270,223
17,???????,285,285,285,285,235
18,?????,296,296,296,296,245
19,????,308,308,308,308,255
20,??,315,315,315,315,262
21,????????,325,325,325,325,270
22,????,335,335,335,335,278
23,????????,345,345,345,345,286
24,?????,353,353,353,353,293
25,???????,362,362,362,362,302
26,???????,370,370,370,370,308
27,?????,380,380,380,380,317
28,?????,388,388,388,388,325
29,????????,399,399,399,399,334
30,?????,407,407,407,407,340
31,?????,414,414,414,414,346
32,??????,418,418,418,418,349
33,???????,421,421,421,421,352
34,???,431,431,431,431,360
35,????,437,437,437,437,366
36,??,443,443,443,443,371
37,???????,449,449,449,449,376
38,?,456,456,456,456,382
39,?????,461,461,461,461,387
40,????,470,470,470,470,394
41,????,480,480,480,480,402
42,??????,486,486,486,486,407
43,??????,492,492,492,492,413
44,??????,499,499,499,499,419
45,???????,502,502,502,502,421
46,???????,505,505,505,505,425
47,????,510,510,510,510,429
48,?????,514,514,514,514,432
49,???????,518,518,518,518,436
50,?,521,521,521,521,439
51,????????,523,523,523,523,441
52,?????,526,526,526,526,444
53,?????,529,529,529,529,446
54,?????,531,531,531,531,449
55,??????,534,534,534,534,451
56,???????,537,537,537,537,454
57,??????,540,540,540,540,457
58,????????,545,545,545,545,461
59,?????,548,548,548,548,464
60,????????,552,552,552,552,467
61,????,554,554,554,554,470
62,??????,556,556,556,556,471
63,?????????,557,557,557,557,473
64,???????,559,559,559,559,474
65,??????,561,561,561,561,476
66,???????,563,563,563,563,478
67,?????,565,565,565,565,480
68,?????,567,567,567,567,482
69,??????,569,569,569,569,484
70,???????,571,571,571,571,486
71,???,573,573,573,573,488
72,????,575,575,575,575,490
73,??????,577,577,577,577,492
74,??????,578,578,578,578,493
75,???????,580,580,580,580,495
76,???????,581,581,581,581,497
77,????????,583,583,583,583,499
78,?????,585,585,585,585,500
79,????????,586,586,586,586,502
80,???,588,588,588,588,503
81,???????,589,589,589,589,504
82,????????,590,590,590,590,505
83,????????,590,590,590,590,506
84,????????,592,592,592,592,507
85,??????,593,593,593,593,508
86,??????,594,594,594,594,509
87,??????,594,594,594,594,510
88,???????,595,595,595,595,511
89,?????,596,596,596,596,512
90,?????,597,597,597,597,513
91,?????,598,598,598,598,514
92,?????,598,598,598,598,514
93,?????,599,599,599,599,515
94,?????,599,599,599,599,516
95,?????,600,600,600,600,516
96,?????,600,600,600,600,516
97,?????,601,601,601,601,517
98,??????,601,601,601,601,518
99,???????,602,602,602,602,518
100,????????,602,602,602,602,519
101,???????,603,603,603,603,519
102,???????,603,603,603,603,520
103,?????,604,604,604,604,520
104,??????,604,604,604,604,521
105,?????,604,604,604,604,521
106,????,605,605,605,605,522
107,???????,605,605,605,605,522
108,??????,605,605,605,605,522
109,????????,606,606,606,606,523
110,?????,606,606,606,606,523
111,?????,606,606,606,606,523
112,???????,607,607,607,607,524
113,?????,607,607,607,607,524
114,?????,607,607,607,607,524
